               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.10356,            0.071526,            0.070287,             0.79477,            0.068903,            0.038417,            0.011835,            0.083564,            0.053492,            0.066544,            0.070395,           0.0032895,           0.0032895
                   1,            0.074545,            0.059103,            0.062843,            0.054685,             0.38663,             0.12362,            0.058224,            0.058042,            0.024277,            0.059951,            0.040378,           0.0066064,           0.0066064
                   2,              0.0737,            0.058094,            0.060367,             0.79937,             0.12552,             0.15993,            0.051376,            0.070779,            0.021261,            0.057612,            0.010345,           0.0099069,           0.0099069
                   3,            0.071167,            0.051793,            0.058834,             0.79063,             0.29698,             0.32813,             0.14171,            0.065749,            0.021432,            0.054201,           0.0099258,           0.0099258,           0.0099258
                   4,             0.06137,            0.050281,            0.056081,             0.73902,             0.28594,             0.38018,             0.14849,            0.050163,            0.020324,            0.050852,           0.0099258,           0.0099258,           0.0099258
                   5,            0.054759,            0.048752,             0.05378,             0.78193,             0.31653,             0.40085,             0.19615,            0.044623,            0.018627,            0.047848,            0.009901,            0.009901,            0.009901
                   6,            0.051116,             0.04792,            0.051424,             0.89994,             0.30768,              0.4099,             0.21886,            0.041941,            0.020518,            0.044897,           0.0098763,           0.0098763,           0.0098763
                   7,            0.047265,            0.048538,            0.048647,             0.89339,             0.30968,             0.43438,             0.24487,            0.037206,            0.018327,            0.042544,           0.0098515,           0.0098515,           0.0098515
                   8,               0.046,            0.046257,            0.046933,             0.95472,             0.31111,             0.45574,             0.24674,            0.032105,            0.017154,            0.041279,           0.0098268,           0.0098268,           0.0098268
                   9,            0.043544,             0.04838,            0.044415,             0.89683,             0.31966,             0.46443,             0.26484,            0.031487,            0.017028,            0.038338,            0.009802,            0.009802,            0.009802
                  10,            0.041194,            0.044729,            0.042788,             0.21748,             0.47968,             0.49222,             0.23454,            0.037201,            0.017605,            0.036731,           0.0097773,           0.0097773,           0.0097773
                  11,             0.04263,            0.044502,            0.041172,             0.32456,             0.54137,              0.5657,             0.33264,             0.03235,            0.017097,            0.034779,           0.0097525,           0.0097525,           0.0097525
                  12,            0.041667,            0.046006,            0.039049,               0.385,             0.76498,             0.61109,             0.33072,            0.033802,            0.017104,             0.03233,           0.0097278,           0.0097278,           0.0097278
                  13,            0.040096,              0.0439,            0.036672,             0.35506,             0.72977,             0.59379,             0.36538,            0.031517,            0.016703,            0.030561,            0.009703,            0.009703,            0.009703
                  14,            0.041378,             0.04724,            0.035101,              0.4727,             0.63363,             0.60329,             0.32697,             0.03204,            0.017061,            0.028926,           0.0096783,           0.0096783,           0.0096783
